gene_id	gene_name	fold_difference	p_value	candidate_gene
Cre16.g685550.t1	ASL4	1.58	3.84e-12	FALSE
Cre17.g726750.t1	SHK1	0.82	3.93e-07	FALSE
Cre03.g181300.t1	SHK6	0.87	0.531	FALSE
Cre01.g059900.t1	SHK7	1.3	0.0468	FALSE
Cre06.g261800.t1	PRD1	0.93	0.754	FALSE
Cre13.g602350.t1	Cre13.g602350	1.29	0.152	FALSE
Cre12.g528700.t1	WSA1	1.23	0.56	FALSE
Cre03.g161400.t1	WSB1	0.94	0.626	FALSE
Cre02.g077350.t1	HDH1	1.31	0.108	FALSE
Cre01.g065150.t1	HIS5	2.09	0.0137	TRUE
Cre09.g410550.t1	HIS2	0.65	0.168	FALSE
Cre12.g495300.t1	HIS6	1.16	0.336	FALSE
Cre03.g204250.t1	SAH1	0.72	6.01e-12	FALSE
Cre17.g723650.t1	ATO1	1.79	0.000262	FALSE
Cre16.g675650.t1	ALD8	0.55	1.11e-16	FALSE
Cre06.g252650.t1	LEU1S	0.89	0.0324	FALSE
Cre12.g534800.t1	GCSP	0.74	1.64e-05	FALSE
Cre03.g193750.t1	GCST	0.93	0.165	FALSE
Cre08.g365700.t1	sir4	0.63	0.0545	FALSE
Cre16.g677500.t1	APK1	1.25	0.0052	FALSE
Cre09.g387800.t1	FER1	0.64	0.000863	FALSE
Cre13.g574500.t1	FER2	1.18	0.82	FALSE
Cre09.g393150.t1	FOX1	0.36	3.42e-14	TRUE
Cre03.g166050.t1	SBD1	1.12	0.055	FALSE
Cre01.g050950.t1	GGR1	0.89	0.296	FALSE
Cre07.g356350.t1	DXS1	0.76	3.96e-05	FALSE
Cre12.g546050.t1	DXR1	0.87	0.711	FALSE
Cre12.g503550.t1	MEC1	1.1	0.614	FALSE
Cre08.g372950.t1	IDS1	0.78	0.000176	FALSE
Cre12.g484200.t1	PPS2	0.61	0.236	FALSE
Cre03.g207700.t1	PPS1	0.83	0.543	FALSE
Cre04.g215050.t1	CHYB	1.07	0.75	FALSE
Cre12.g509650.t1	PDS1	0.39	3.8e-07	TRUE
Cre03.g207800.t1	ADH5	1.32	0.402	FALSE
Cre03.g207550.t1	ADH8	1.32	0.0374	FALSE
Cre07.g335350.t1	Cre07.g335350	0.76	0.091	FALSE
Cre13.g605650.t1	ALD7	0.67	0.588	FALSE
Cre12.g517100.t1	Cre12.g517100	1.34	0.18	FALSE
Cre12.g519100.t1	ACX2	0.89	0.258	FALSE
Cre14.g613500.t1	ZEP5	0.6	0.0445	FALSE
Cre17.g696850.t1	Cre17.g696850	1.91	2.88e-07	FALSE
Cre17.g728100.t1	Cre17.g728100	1.49	0.00333	FALSE
Cre12.g500500.t1	STM1	0.74	1.13e-07	FALSE
Cre02.g092350.t1	CYP51G1	1.08	0.161	FALSE
Cre02.g108450.t1	FAP280	1.3	0.0358	FALSE
Cre15.g643550.t1	PDX1	1.31	0.0118	FALSE
Cre04.g214150.t1	THI4	0.38	0	TRUE
Cre05.g240850.t1	THI8	0.15	1.27e-08	TRUE
Cre01.g025250.t1	RFK2	1.73	0.00925	FALSE
Cre06.g296600.t1	RFS1	1.14	0.384	FALSE
Cre02.g088850.t1	RFS2	0.8	0.282	FALSE
Cre03.g158000.t1	GSA	1.2	0.0135	FALSE
Cre02.g091050.t1	ALAD1	0.62	1.28e-07	FALSE
Cre16.g663900.t1	PBGD1	0.83	0.00784	FALSE
Cre02.g113850.t1	HEM5	1.02	0.959	FALSE
Cre09.g409100.t1	UPS1	0.98	0.806	FALSE
Cre11.g467700.t1	UPD1	0.75	0.0387	FALSE
Cre02.g076300.t1	UPD2	1.01	0.931	FALSE
Cre02.g073700.t1	UPD3	1.09	0.686	FALSE
Cre02.g085450.t1	CPX1	0.76	0.00107	FALSE
Cre09.g396300.t1	PPX1	1.17	0.0104	FALSE
Cre05.g242000.t1	CHLD	1.94	0.143	FALSE
Cre07.g325500.t1	CHLH1	0.53	7.58e-07	FALSE
Cre06.g306300.t1	CHLI1	1	0.99	FALSE
Cre12.g510800.t1	CHLI2	0.94	0.481	FALSE
Cre12.g498550.t1	MPM1	0.73	0.312	FALSE
Cre12.g510050.t1	CTH1B	0.51	2.07e-13	FALSE
Cre01.g042800.t1	DVR1	0.73	0.0336	FALSE
Cre01.g015350.t1	POR	1.26	0.0673	FALSE
Cre-1.g2716966.t1	chlB	0.19	1.78e-07	TRUE
Cre-1.g2716986.t1	chlN	0.36	0.000802	TRUE
Cre10.g423500.t1	HMO1	0.72	0.126	FALSE
