transcript_id,num_detected,num_sampled,proportion,source,annotation_version,gene_id,gene_symbol,pathway_id,transcript_id_v5.3.1
Cre01.g006850.t1.2,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g006850,,,Cre01.g006850.t1.2
Cre01.g006876.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g006876,,,g180.t1
Cre01.g006900.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g006900,,,Cre01.g006900.t1.3
Cre01.g006950.t1.1,4,5,0.5,"['Hemme_2014', 'Bajhaiya_2016', 'Goodenough_2014', 'Blaby_2013', 'Juergens_2015']",v5.5,Cre01.g006950,FBA1,"['Creinhardtii ANAGLYCOLYSIS-PWY', 'Creinhardtii CALVIN-PWY', 'Creinhardtii GLUCONEO-PWY', 'Creinhardtii PWY-1042', 'Creinhardtii PWY-5464', 'Creinhardtii PWY66-399', 'Creinhardtii SUCSYN-PWY']",Cre01.g006950.t1.3
Cre01.g007000.t1.2,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g007000,,,Cre01.g007000.t1.2
Cre01.g007050.t1.2,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g007050,CPLD11,,Cre01.g007050.t1.2
Cre01.g007051.t1.2,1,3,0.125,"['Hemme_2014', 'Bajhaiya_2016', 'Kwak_2017']",v5.5,Cre01.g007051,RPL40,,g185.t1
Cre01.g007100.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g007100,,,Cre01.g007100.t1.3
Cre01.g007150.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g007150,,,Cre01.g007150.t1.3
Cre01.g007200.t1.2,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g007200,,,Cre01.g007200.t1.2
Cre01.g007251.t1.1,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g007251,,,g189.t1
Cre01.g007300.t1.2,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g007300,,,Cre01.g007300.t1.2
Cre01.g007350.t1.2,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g007350,,,Cre01.g007350.t1.2
Cre01.g007400.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g007400,,,Cre01.g007400.t1.3
Cre01.g007450.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g007450,,,Cre01.g007450.t1.3
Cre01.g007500.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g007500,,,Cre01.g007500.t1.3
Cre01.g007550.t1.1,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g007550,,,Cre01.g007550.t1.3
Cre01.g007600.t1.1,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g007600,,['Creinhardtii PWY-6787'],g196.t1
Cre01.g007651.t1.1,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g007651,,,g197.t1
Cre01.g007700.t1.1,1,2,0.125,"['Hemme_2014', 'Bajhaiya_2016']",v5.5,Cre01.g007700,,,Cre01.g007700.t1.2
Cre01.g007737.t1.1,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g007737,,,g199.t1
Cre01.g007774.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g007774,,,g200.t1
Cre01.g007811.t1.1,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g007811,,,g201.t1
